text,value
Έπρεπε,O
να,O
είναι,O
στην,O
εθνική,O
ο,O
Ικάρντι,B-PERSON
"	O

Υπερθυρεοειδισμός	O
εμφανίστηκε	O
σε	O
135	B-CARDINAL
(	O
3,5%	B-PERCENT
)	O
ασθενείς	O
συμπεριλαμβανομένων	O
περιστατικών	O
Βαθμού	O
2	B-CARDINAL
ή	O
3	B-CARDINAL
σε	O
32	B-CARDINAL
(	O
0,8%	B-PERCENT
)	O
και	O
σε	O
4	B-CARDINAL
(	O
0,1%	B-PERCENT
)	O
ασθενείς	O
αντίστοιχα	O
,	O
που	O
λάμβαναν	O
το	O
pembrolizumab	O
.	O

Θα	O
μπορούσαμε	O
να	O
μην	O
το	O
είχαμε	O
κερδίσει	O
,	O
αν	O
η	O
Ελλάδα	B-GPE
δεν	O
είχε	O
αντιδράσει	O
,	O
όπως	O
σε	O
άλλα	O
θέματα	O
που	O
καθυστερήσαμε	O
να	O
αντιδράσουμε	O
και	O
πέρασε	O
η	O
θέση	O
άλλων	O
.	O

Ένα	B-CARDINAL
ετήσιο	O
διαγνωστικό	O
τεστ	O
αίματος	O
μπορεί	O
να	O
περιορίσει	O
κατά	O
20%	B-PERCENT
τους	O
θανάτους	O
από	O
καρκίνο	O
των	O
ωοθηκών	O
,	O
μια	B-CARDINAL
σπάνια	O
μορφή	O
της	O
ασθένειας	O
η	O
οποία	O
αποκαλείται	O
και	O
«	O
σιωπηλός	O
δολοφόνος	O
»	O
διότι	O
οι	O
όγκοι	O
της	O
ανακαλύπτονται	O
συνήθως	O
με	O
καθηστέρηση	O
.	O

Η	O
Βρετανία	B-GPE
δεν	O
θα	O
πληρώσει	O
τον	O
λογαριασμό	O
του	O
διαζυγίου	O
με	O
την	O
ΕΕ	B-ORG
αν	O
δεν	O
υπάρξει	O
μια	B-CARDINAL
εμπορική	O
συμφωνία	O
,	O
δηλώνει	O
ο	O
νέος	O
υπουργός	O
του	O
Ηνωμένου	B-GPE
Βασιλείου	I-GPE
που	O
είναι	O
αρμόδιος	O
για	O
το	O
Brexit	B-EVENT
Ντόμινικ	B-PERSON
Ράαμπ	I-PERSON
σε	O
συνέντευξη	O
του	O
σήμερα	B-DATE
στην	O
Daily	B-ORG
Telegraph	I-ORG
.	O

Δίνοντας	O
έμφαση	O
όχι	O
σε	O
μια	B-CARDINAL
δημοσιογραφική	O
εικονοποίηση	O
γεγονότων	O
,	O
άλλα	O
σε	O
πιο	O
προσωπικές	O
ματιές	O
που	O
εστιάζουν	O
στην	O
παρατήρηση	O
της	O
καθημερινότητας	O
και	O
στο	O
προσωπικό	O
βίωμα	O
,	O
το	O
τι	O
σημαίνει	O
να	O
είναι	O
στην	O
Ελλάδα	B-GPE
κάποιος	O
τώρα	O
,	O
έχοντας	O
πάντα	O
ως	O
σημείωση	O
την	O
παρουσία	O
της	O
σκιάς	O
ενός	B-CARDINAL
ιστορικού	O
«	O
ένδοξου	O
»	O
παρελθόντος	O
που	O
διαχέεται	O
στην	O
καθημερινότητα	O
και	O
κατευθύνει	O
το	O
βλέμμα	O
.	O

Το	O
εθνικό	O
σχέδιο	O
προβλέπει	O
τη	O
δυνατότητα	O
πρόσβασης	O
των	O
πολιτών	O
εδώ	O
και	O
λίγες	O
εβδομάδες	O
για	O
εξέταση	O
και	O
θεραπεία	O
έναντι	O
της	O
ηπατίτιδας	O
C	O
σε	O
ηπατολογικά	O
ιατρεία	O
,	O
χωρίς	O
ραντεβού	O
σε	O
26	B-CARDINAL
νοσοκομεία	O
της	O
χώρας	O
.	O

Αυτή	O
όμως	O
η	O
πλειοψηφία	O
μετριαζόταν	O
από	O
την	O
πιο	O
μετριοπαθή	O
φωνή	O
του	O
δικαστή	O
Κένεντι	B-PERSON
.	O

Οι	O
Ιάπωνες	B-NORP
είναι	O
εφευρετικοί	O
.	O

Το	O
δεύτερο	B-ORDINAL
φανερώνει	O
τη	O
διάθεσή	O
τους	O
να	O
προχωρήσουν	O
σε	O
κάποιες	O
αλλαγές	O
φιλοσοφίας	O
που	O
εκπορεύονταν	O
από	O
την	O
επιμονή	O
στον	O
ελληνικό	O
κορμό	O
αλλά	O
και	O
το	O
στιλ	O
παιχνιδιού	O
που	O
αυτός	O
επέβαλε	O
.	O

Στο	O
«	O
και	O
πέντε	B-CARDINAL
»	O
,	O
το	O
υπουργείο	B-ORG
Περιβάλλοντος	I-ORG
τρέχει	O
να	O
θωρακίσει	O
τον	O
Υμηττό	O
,	O
μετά	O
την	O
αναμενόμενη	O
και	O
δίκαιη	O
απόφαση	O
της	O
Ολομέλειας	O
του	O
ΣτΕ	B-ORG
με	O
την	O
οποία	O
ακυρώθηκε	O
το	O
διάταγμα	O
προστασίας	O
του	O
2011	B-DATE
που	O
αφορά	O
τον	O
πιο	O
σημαντικό	O
ορεινό	O
όγκο	O
της	O
Αττικής	B-GPE
.	O

Με	O
τους	O
47	B-CARDINAL
αναμεταδότες	O
του	O
,	O
ο	O
δορυφόρος	O
θα	O
δώσει	O
νέες	O
δυνατότητες	O
στον	O
οργανισμό	O
Inmarsat	B-ORG
για	O
την	O
παροχή	O
κινητών	O
τηλεπικοινωνιακών	O
υπηρεσιών	O
και	O
πρόσβασης	O
στο	O
διαδίκτυο	O
στους	O
επιβάτες	O
των	O
αεροσκαφών	O
,	O
στον	O
εναέριο	O
χώρο	O
της	O
Ευρωπαϊκής	B-ORG
Ένωσης	I-ORG
.	O

Και	O
στον	O
τρόπο	O
του	O
να	O
σκηνοθετεί	O
συνευρέσεις	O
και	O
περιπλανήσεις	O
μέσα	O
στο	O
αστικό	O
σκηνικό	O
,	O
ασχέτως	O
αν	O
αυτό	O
είναι	O
αθηναϊκό	O
ή	O
της	O
Θεσσαλονίκης	B-GPE
–	O
αφού	O
οι	O
χώροι	O
όπου	O
εστιάζει	O
και	O
στις	O
δύο	B-CARDINAL
πόλεις	O
είναι	O
αντίστοιχοι	O
:	O
Πλατείες	O
«	O
Αγ.	B-LOC
Βαρδαρίου	I-LOC
»	O
ή	O
Ομόνοιας	B-LOC
,	O
λαϊκά	O
ξενοδοχεία	O
,	O
ευρύτερα	O
χώροι	O
όπου	O
θάλλει	O
το	O
λαϊκό	O
στοιχείο	O
,	O
ο	O
κόσμος	O
του	O
μόχθου	O
.	O

Το	O
ζήτημα	O
είναι	O
ιδιαίτερα	O
πιεστικό	O
καθώς	O
η	O
πρόσφατη	O
πολιτική	O
κρίση	O
στην	O
Ιταλία	B-GPE
έδειξε	O
ότι	O
τα	O
προβλήματα	O
του	O
ευρώ	O
δεν	O
έχουν	O
τελειώσει	O
.	O

Ιστολόγια	O
τα	O
οποία	O
απηχούν	O
απόψεις	O
της	O
εταιρείας	O
αναφέρουν	O
ότι	O
«	O
έχουν	O
παγώσει	O
όλες	O
οι	O
προσλήψεις	O
της	O
εταιρείας	O
στην	O
περιοχή	O
,	O
οι	O
οποίες	O
υπολογίζονταν	O
σε	O
200	B-CARDINAL
εφόσον	O
προχωρούσαν	O
και	O
υλοποιούνταν	O
κανονικά	O
οι	O
εργασίες	O
στην	O
Ολυμπιάδα	B-GPE
και	O
μέρος	O
αυτών	O
στις	O
Σκουριές	B-GPE
»	O
,	O
ενώ	O
οι	O
εργαζόμενοι	O
με	O
ανακοίνωσή	O
τους	O
προαναγγέλλουν	O
νέες	O
κινητοποιήσεις	O
.	O

VTB	O
Λίγκα	O
All	O
Star	O
:	O
(	O
2017	B-DATE
)	O

Ο	O
Τσίπρας	B-PERSON
τότε	O
διέλυσε	O
πρόωρα	O
τη	O
Βουλή	B-ORG
για	O
να	O
απαλλαγεί	O
από	O
εμένα	O
και	O
τους	O
διαφωνούντες	O
βουλευτές	O
»	O
.	O

Με	O
«	O
διαδρομές	O
εντός	O
κι	O
εκτός	O
των	O
τειχών	O
του	O
Κάστρου	B-LOC
»	O
ανοίγει	O
ο	O
δεύτερος	B-ORDINAL
κύκλος	O
του	O
επιτυχημένου	O
προγράμματος	O
«	O
Μαθαίνω	B-WORK_OF_ART
για	I-WORK_OF_ART
την	I-WORK_OF_ART
πόλη	I-WORK_OF_ART
μου	I-WORK_OF_ART
»	O
,	O
που	O
οργανώνει	O
στα	O
Γιάννενα	B-GPE
το	O
Γραφείο	B-ORG
Τουριστικής	I-ORG
Προβολής	I-ORG
του	O
Δήμου	B-ORG
Ιωαννιτών	I-ORG
,	O
σε	O
συνεργασία	O
με	O
το	O
Σπήλαιο	B-LOC
Περάματος	I-LOC
.	O

Υπό	O
μερικό	O
έλεγχο	O
τέθηκε	O
κατά	O
τη	O
διάρκεια	O
της	O
νύχτας	O
η	O
φωτιά	O
που	O
ξέσπασε	O
το	O
απόγευμα	B-TIME
της	O
Τετάρτης	B-DATE
σε	O
αγροτοδασική	O
έκταση	O
,	O
κοντά	O
στο	O
χωριό	O
του	O
Άγιου	B-GPE
Σύλλα	I-GPE
,	O
στον	O
Μυλοπόταμο	B-GPE
Ρεθύμνου	I-GPE
.	O

Ο	B-WORK_OF_ART
γίγαντας	I-WORK_OF_ART
,	O
(	O
Handia	B-PERSON
,	O
Ισπανία	B-GPE
,	O
2017	B-DATE
,	O
104'	B-CARDINAL
)	O
★	O
★	O
½	O
☆	O
☆	O

Για	O
την	O
καταπολέμηση	O
της	O
παραβατικότητας	O
και	O
της	O
επισφάλειας	O
στην	O
αγορά	O
εργασίας	O
ανακοίνωσε	O
ότι	O
ενισχύεται	O
το	O
Σώμα	B-ORG
Επιθεώρησης	I-ORG
Εργασίας	I-ORG
(	O
ΣΕΠΕ	B-ORG
)	O
με	O
200	B-CARDINAL
άτομα	O
προσωπικό	O
μέσα	O
από	O
μετακινήσεις	O
και	O
νέες	O
προσλήψεις	O
,	O
επισημαίνοντας	O
ότι	O
200	B-CARDINAL
θέσεις	O
είχε	O
καταργήσει	O
η	O
Νέα	B-ORG
Δημοκρατία	I-ORG
.	O

Ενός	B-CARDINAL
προγράμματος	O
που	O
ξεκίνησε	O
το	O
2017	B-DATE
κάπως	O
δειλά	O
και	O
με	O
μια	B-CARDINAL
μικρή	O
επιφύλαξη	O
για	O
το	O
πώς	O
θα	O
εξελιχθεί	O
.	O

Οι	O
ερευνητές	O
,	O
μεταξύ	O
των	O
οποίων	O
ο	O
Ρομπ	B-PERSON
Γουέρικ	I-PERSON
του	O
Ινστιτούτου	B-ORG
Αστρονομίας	I-ORG
του	O
Πανεπιστημίου	B-ORG
της	I-ORG
Χαβάης	I-ORG
,	O
ο	O
οποίος	O
τον	O
ανακάλυψε	O
με	O
το	O
τηλεσκόπιο	O
Pan-STARSS	B-PRODUCT
και	O
του	O
έδωσε	O
χαβανέζικο	O
όνομα	O
(	O
Οουμουαμούα	B-LOC
σημαίνει	O
«	O
αγγελιαφόρος	O
από	O
μακριά	O
που	O
φθάνει	O
πρώτος	B-ORDINAL
»	O
)	O
,	O
έκαναν	O
τη	O
σχετική	O
δημοσίευση	O
στο	O
περιοδικό	O
«	O
Nature	B-ORG
»	O
.	O

Αν	O
αφήσεις	O
έξω	O
τον	O
Μέσι	B-PERSON
,	O
έχουμε	O
καλύτερους	O
παίκτες	O
από	O
την	O
Αργεντινή	B-ORG
,	O
υπερτερούμε	O
σε	O
ποιότητα	O
.	O

Εκεί	O
,	O
ο	O
Ντιεγκίτο	B-PERSON
λατρεύτηκε	O
όσο	O
κανείς	O
άλλος	O
και	O
φυσικά	O
η	O
πλειονότητα	O
του	O
κοινού	O
δεν	O
υποστήριζε	O
τους	O
γηπεδούχους	O
.	O

Το	O
Twitter	B-PRODUCT
προχωρά	O
στην	O
απενεργοποίηση	O
λογαριασμών	O
για	O
ποικίλους	O
λόγους	O
,	O
μεταξύ	O
των	O
οποίων	O
είναι	O
η	O
προσβλητική	O
συμπεριφορά	O
,	O
η	O
αποστολή	O
μηνυμάτων	O
spam	O
ή	O
εφόσον	O
ο	O
λογαριασμός	O
έχει	O
δεχτεί	O
επίθεση	O
από	O
χακερς	O
.	O

Ακολούθησαν	O
με	O
την	O
ίδια	O
εισπρακτική	O
επιτυχία	O
οι	O
ταινίες	O
του	O
:	O
«	O
Ματωμένες	B-WORK_OF_ART
γροθιές	I-WORK_OF_ART
του	I-WORK_OF_ART
Καράτε	I-WORK_OF_ART
(	O
1972	B-DATE
)	O
,	O
«	O
Ο	B-WORK_OF_ART
κίτρινος	I-WORK_OF_ART
δράκος	I-WORK_OF_ART
του	I-WORK_OF_ART
Χονγκ-Κονγκ	I-WORK_OF_ART
»	O
(	O
1972	B-DATE
)	O
και	O
«	O
Ο	B-WORK_OF_ART
κίτρινος	I-WORK_OF_ART
πράκτωρ	I-WORK_OF_ART
εναντίον	I-WORK_OF_ART
της	I-WORK_OF_ART
Μαφίας	I-WORK_OF_ART
»	O
(	O
1973	B-DATE
)	O
,	O
που	O
εκτόξευσαν	O
τη	O
φήμη	O
του	O
σε	O
όλο	O
τον	O
κόσμο	O
.	O

Οι	O
επιστήμονες	O
της	O
NASA	B-ORG
δεν	O
περιμένουν	O
το	O
διαστημόπλοιο	O
να	O
επιζήσει	O
των	O
καταδύσεων	O
σε	O
όλους	O
του	O
δακτυλίους	O
.	O

Οι	O
επικριτές	O
υποστηρίζουν	O
ότι	O
πρόκειται	O
για	O
μια	B-CARDINAL
κίνηση	O
από	O
μία	O
κυβέρνηση	O
που	O
βρίσκεται	O
σε	O
πανικό	O
εξαιτίας	O
των	O
κρουσμάτων	O
ανταρσίας	O
στο	O
Συντητηρικό	B-ORG
κόμμα	O
.	O

Αυτό	O
το	O
ψεγάδι	O
επιτρέπει	O
σε	O
μια	B-CARDINAL
ιστοσελίδα	O
να	O
φιλοξενεί	O
δωρεάν	O
την	O
ταινιοθήκη	O
της	O
χρησιμοποιώντας	O
το	O
χώρο	O
και	O
το	O
εύρος	O
ζώνης	O
της	O
Google	B-ORG
.	O

Έχουν	O
προηγηθεί	O
οι	O
Kiss	B-ORG
και	O
Iron	B-ORG
Maiden	I-ORG
.	O

Ο	O
Μ.	B-PERSON
Ζορπίδης	I-PERSON
πρώτος	B-ORDINAL
πρόεδρος	O
του	O
Περιφερειακού	B-ORG
Επιμελητηρίου	I-ORG
Κεντρικής	I-ORG
Μακεδονίας	I-ORG
|	O
naftemporiki.gr	B-ORG

Ομως	O
υπάρχει	O
και	O
ένα	B-CARDINAL
καθησυχαστικό	O
στοιχείο	O
για	O
τους	O
«	O
μπλε	B-ORG
»	O
:	O
στα	O
τελευταία	O
9	B-CARDINAL
παιχνίδια	O
της	O
εναντίον	O
νοτιοαμερικανικών	O
ομάδων	O
στο	O
Παγκόσμιο	B-EVENT
Κύπελλο	I-EVENT
,	O
η	O
Γαλλία	B-ORG
δεν	O
έχει	O
ηττηθεί	O
(	O
5	B-CARDINAL
νίκες	O
,	O
4	B-CARDINAL
ισοπαλίες	O
)	O
.	O

Ο	O
Ανδρέας	B-PERSON
Εμπειρίκος	I-PERSON
με	O
την	O
διπλή	O
ιδιότητα	O
του	O
ψυχαναλυτή	O
και	O
του	O
ασθενούς	O
επιχειρεί	O
με	O
ποίημα	O
του	O
να	O
τον	O
αποκαταστήσει	O
:	O
«	O
Τον	O
άσπρο	O
άγγελο	O
με	O
τα	O
κατάμαυρα	O
φτερά	O
μην	O
τον	O
ξεχνάτε	O
τον	O
νέον	O
αυτόν	O
,	O
είναι	O
μεγάλος	O
ποιητής	O
ο	O
Κώστας	B-PERSON
Καρυωτάκης	I-PERSON
»	O
.	O

Ο	O
λόγος	O
για	O
τη	O
supernova	B-LOC
iPTF14hls	I-LOC
η	O
οποία	O
αρχικά	O
είχε	O
ανακαλυφθεί	O
το	O
2014	B-DATE
και	O
έμοιαζε	O
με	O
μια	B-CARDINAL
τυπική	O
περίπτωση	O
.	O

Επίσης	O
,	O
ενημέρωσε	O
πως	O
η	O
Κατερίνα	B-PERSON
Κασιούμη	I-PERSON
-η	O
σύμβαση	O
της	O
οποίας	O
λήγει	O
τον	O
Ιούλιο	B-DATE
-	O
θα	O
συνεχίσει	O
τη	O
συνεργασία	O
της	O
με	O
το	O
φεστιβάλ	O
από	O
την	O
ίδια	O
θέση	O
.	O

Σταδιακά	O
,	O
δηλαδή	O
,	O
«	O
αποκολλώνται	O
»	O
τα	O
συγκεκριμένα	O
στρώματα	O
,	O
ωσότου	O
διαλυθεί	O
και	O
ο	O
πυρήνας	O
,	O
και	O
ίσως	O
για	O
αυτό	O
να	O
υπάρχουν	O
οι	O
αυξομειώσεις	O
στη	O
λαμπρότητα	O
,	O
όπως	O
εξηγεί	O
ο	O
Γιώργος	B-PERSON
Λελούδας	I-PERSON
.	O

Η	O
συμβουλή	O
μου	O
στους	O
συνομήλικους	O
μου	O
αλλά	O
και	O
μη	O
,	O
που	O
ενώ	O
έχουν	O
προσπαθήσει	O
δεν	O
έχουν	O
βρει	O
αυτό	O
που	O
θέλουν	O
στην	O
Ελλάδα	B-GPE
,	O
είναι	O
να	O
μην	O
συμβιβαστούν	O
με	O
κάτι	O
λιγότερο	O
ή	O
φθηνότερο	O
από	O
αυτό	O
που	O
θέλουν	O
για	O
τη	O
ζωή	O
τους	O
και	O
να	O
μην	O
μείνουν	O
κλεισμένοι	O
στα	O
σύνορα	O
μιας	B-CARDINAL
χώρας	O
,	O
εάν	O
εκείνη	O
δεν	O
προσφέρει	O
αυτό	O
που	O
τους	O
ολοκληρώνει	O
.	O

Θα	O
μιλήσει	O
για	O
τον	O
έκτακτο	O
διαχειριστικό	O
έλεγχο	O
που	O
διέταξε	O
η	O
υπουργός	O
Πολιτισμού	O
για	O
την	O
ορχήστρα	O
,	O
η	O
οποία	O
από	O
το	O
2015	B-DATE
παραμένει	O
χωρίς	O
Δ.Σ.	O
,	O
αλλά	O
και	O
για	O
την	O
πρώτη	B-ORDINAL
πανελλαδική	O
παρουσίαση	O
του	O
μιούζικαλ	O
",O
Sweeny,B-WORK_OF_ART
Todd,I-WORK_OF_ART
